origin_country,origin_iata,dest_country,dest_iata,departure,arrival,duration_minutes,stop_count,carriers,price_eur,price_formatted,segment_count,itinerary_id
FR,CDG,IT,FCO,2026-06-01T07:05:00,2026-06-01T16:55:00,590,1,Austrian Airlines,329.25,330 €,2,10413-2606010705--32544-1-11493-2606011655
FR,CDG,IT,FCO,2026-06-01T11:50:00,2026-06-01T19:55:00,485,1,Norwegian,402.55,403 €,2,10413-2606011150--32013-1-11493-2606011955
FR,CDG,IT,FCO,2026-06-01T08:30:00,2026-06-01T13:10:00,280,1,SWISS,701.98,702 €,2,10413-2606010830--31799-1-11493-2606011310
FR,CDG,IT,FCO,2026-06-01T09:00:00,2026-06-01T22:00:00,780,1,Lufthansa,252.22,253 €,2,10413-2606010900--32090-1-11493-2606012200
FR,CDG,IT,FCO,2026-06-01T06:25:00,2026-06-01T22:00:00,935,1,Lufthansa,210.65,211 €,2,10413-2606010625--32090-1-11493-2606012200
FR,CDG,IT,FCO,2026-06-01T16:50:00,2026-06-02T08:10:00,920,1,ITA Airways,218.58,219 €,2,10413-2606011650--30727-1-11493-2606020810
FR,CDG,IT,FCO,2026-06-01T07:20:00,2026-06-01T18:25:00,665,1,Turkish Airlines,317.41,318 €,2,10413-2606010720--31734-1-11493-2606011825
FR,CDG,IT,FCO,2026-06-01T10:35:00,2026-06-01T22:40:00,725,1,British Airways,295.64,296 €,2,10413-2606011035--32480-1-11493-2606012240
FR,CDG,IT,FCO,2026-06-01T11:55:00,2026-06-01T22:40:00,645,1,British Airways,352.7,353 €,2,10413-2606011155--32480-1-11493-2606012240
FR,CDG,IT,FCO,2026-06-01T07:50:00,2026-06-01T22:40:00,890,1,British Airways,256.16,257 €,2,10413-2606010750--32480-1-11493-2606012240
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T21:00:00,665,1,"Brussels Airlines, ITA Airways",365.48,366 €,2,"10413-2606010955--32478,-30727-1-11493-2606012100"
FR,CDG,IT,FCO,2026-06-01T07:10:00,2026-06-01T13:10:00,360,1,SWISS,701.98,702 €,2,10413-2606010710--31799-1-11493-2606011310
FR,CDG,IT,FCO,2026-06-01T09:35:00,2026-06-01T20:05:00,630,1,Luxair,401.25,402 €,2,10413-2606010935--32086-1-11493-2606012005
FR,CDG,IT,FCO,2026-06-01T07:05:00,2026-06-01T18:05:00,660,1,LOT,383.63,384 €,2,10413-2606010705--32093-1-11493-2606011805
FR,CDG,IT,FCO,2026-06-01T06:45:00,2026-06-01T16:25:00,580,2,"SWISS, ITA Airways",443.57,444 €,3,"10413-2606010645--31799,-30727-2-11493-2606011625"
FR,CDG,IT,FCO,2026-06-01T21:00:00,2026-06-02T11:05:00,845,1,Scandinavian Airlines,310.55,311 €,2,10413-2606012100--31901-1-11493-2606021105
FR,CDG,IT,FCO,2026-06-01T11:15:00,2026-06-01T19:55:00,520,1,Aer Lingus,507.29,508 €,2,10413-2606011115--32753-1-11493-2606011955
FR,CDG,IT,FCO,2026-06-01T19:40:00,2026-06-02T12:05:00,985,2,"SWISS, ITA Airways",270.97,271 €,3,"10413-2606011940--31799,-30727-2-11493-2606021205"
FR,CDG,IT,FCO,2026-06-01T07:15:00,2026-06-01T18:00:00,645,1,Finnair,416.49,417 €,2,10413-2606010715--32317-1-11493-2606011800
FR,CDG,IT,FCO,2026-06-01T20:15:00,2026-06-02T08:10:00,715,1,Austrian Airlines,381.83,382 €,2,10413-2606012015--32544-1-11493-2606020810
FR,CDG,IT,FCO,2026-06-01T21:00:00,2026-06-02T09:30:00,750,1,Air Europa,370.54,371 €,2,10413-2606012100--32680-1-11493-2606020930
FR,CDG,IT,FCO,2026-06-01T10:20:00,2026-06-01T19:55:00,575,1,Aer Lingus,487.65,488 €,2,10413-2606011020--32753-1-11493-2606011955
FR,CDG,IT,FCO,2026-06-01T07:05:00,2026-06-01T16:25:00,560,2,"Austrian Airlines, ITA Airways",506.92,507 €,3,"10413-2606010705--32544,-30727-2-11493-2606011625"
FR,CDG,IT,FCO,2026-06-01T14:00:00,2026-06-02T11:05:00,1265,1,Scandinavian Airlines,227.89,228 €,2,10413-2606011400--31901-1-11493-2606021105
FR,CDG,IT,FCO,2026-06-01T16:10:00,2026-06-01T23:35:00,445,1,Turkish Airlines,649.93,650 €,2,10413-2606011610--31734-1-11493-2606012335
FR,CDG,IT,FCO,2026-06-01T21:40:00,2026-06-02T13:30:00,950,1,Air Algerie,313.5,314 €,2,10413-2606012140--32717-1-11493-2606021330
FR,CDG,IT,FCO,2026-06-01T11:15:00,2026-06-01T18:35:00,440,1,"Scandinavian Airlines, Aeromexico",692.94,693 €,2,"10413-2606011115--31901,-32733-1-11493-2606011835"
FR,CDG,IT,FCO,2026-06-01T21:00:00,2026-06-02T15:05:00,1085,1,Lufthansa,277.54,278 €,2,10413-2606012100--32090-1-11493-2606021505
FR,CDG,IT,FCO,2026-06-01T11:15:00,2026-06-01T18:35:00,440,1,"Scandinavian Airlines, Icelandair",692.94,693 €,2,"10413-2606011115--31901,-32217-1-11493-2606011835"
FR,CDG,IT,FCO,2026-06-01T11:15:00,2026-06-01T18:35:00,440,1,"Scandinavian Airlines, EL AL Israel Airlines",692.94,693 €,2,"10413-2606011115--31901,-32352-1-11493-2606011835"
FR,CDG,IT,FCO,2026-06-01T21:00:00,2026-06-02T11:50:00,890,1,Lufthansa,339.88,340 €,2,10413-2606012100--32090-1-11493-2606021150
